0.005,16.4
0.01,16.3
0.015,16.0
0.02,16.2
0.025,15.9
0.03,16.1
0.035,16.1
0.04,16.1
0.045,16.1
0.05,16.4
0.055,16.3
0.06,16.2
0.065,16.0
0.07,16.2
0.075,16.0
0.08,16.1
0.085,16.2
0.09,16.2
0.095,16.1
0.1,16.5
0.105,16.1
0.11,16.2
0.115,16.1
0.12,16.0
0.125,16.0
0.13,16.2
0.135,16.0
0.14,16.0
0.145,16.2
0.15,16.4
0.155,25.6
0.16,25.5
0.165,25.6
0.17,25.4
0.175,25.6
0.18,25.6
0.185,25.7
0.19,26.1
0.195,26.1
0.2,26.0
0.205,26.6
0.21,26.0
0.215,26.7
0.22,26.3
0.225,26.0
0.23,25.9
0.235,25.7
0.24,25.8
0.245,26.0
0.25,25.9
