0.005,56.8
0.01,55.8
0.015,56.4
0.02,57.4
0.025,57.5
0.03,56.3
0.035,57.0
0.04,56.6
0.045,55.6
0.05,57.8
0.055,56.2
0.06,6060.8
0.065,55.1
0.07,57.3
0.075,56.3
0.08,55.4
0.085,55.3
0.09,56.1
0.095,56.9
0.1,55.0
0.105,55.5
0.11,56.4
0.115,55.9
0.12,55.7
0.125,56.4
0.13,55.8
0.135,55.3
0.14,56.7
0.145,55.6
0.15,56.1
0.155,44.9
0.16,45.1
0.165,44.9
0.17,44.8
0.175,45.0
0.18,44.8
0.185,45.0
0.19,45.0
0.195,45.3
0.2,44.8
0.205,45.3
0.21,45.0
0.215,44.9
0.22,45.3
0.225,44.8
0.23,44.9
0.235,45.6
0.24,44.8
0.245,45.0
0.25,45.2
