0.005,49.9
0.01,45.6
0.015,48.2
0.02,48.0
0.025,47.9
0.03,49.2
0.035,48.1
0.04,47.1
0.045,44.4
0.05,45.3
0.055,45.7
0.06,47.0
0.065,46.4
0.07,46.1
0.075,45.8
0.08,46.2
0.085,46.0
0.09,48.8
0.095,46.9
0.1,46.6
0.105,46.0
0.11,47.1
0.115,47.2
0.12,47.0
0.125,47.7
0.13,46.6
0.135,47.2
0.14,51.1
0.145,48.8
0.15,47.7
0.155,47.7
0.16,47.8
0.165,47.6
0.17,48.0
0.175,47.8
0.18,47.8
0.185,48.1
0.19,47.8
0.195,48.1
0.2,48.7
0.205,48.6
0.21,48.7
0.215,48.7
0.22,49.4
0.225,48.7
0.23,48.5
0.235,48.6
0.24,48.6
0.245,48.9
0.25,48.8
