0.005,100.8
0.01,98.7
0.015,99.8
0.02,98.5
0.025,95.1
0.03,93.6
0.035,98.0
0.04,87.5
0.045,96.8
0.05,95.5
0.055,99.4
0.06,92.1
0.065,99.7
0.07,92.0
0.075,97.0
0.08,103.1
0.085,98.9
0.09,98.1
0.095,93.7
0.1,95.7
0.105,101.5
0.11,98.6
0.115,99.2
0.12,96.2
0.125,93.1
0.13,93.6
0.135,98.4
0.14,95.9
0.145,96.4
0.15,96.6
0.155,73.1
0.16,73.1
0.165,74.5
0.17,73.6
0.175,75.0
0.18,74.7
0.185,75.1
0.19,72.7
0.195,73.0
0.2,73.6
0.205,74.9
0.21,74.6
0.215,73.4
0.22,74.1
0.225,73.2
0.23,73.7
0.235,74.2
0.24,74.9
0.245,73.6
0.25,74.0
